Year,ski_week,resort,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres)
2026,12,Falls Creek,3.1514285714285717,-2.472857143,31.7
2026,13,Falls Creek,4.430000000000001,-1.354285714,28.439999999999998
2026,14,Falls Creek,5.1414285714285715,-0.854285714,24.34
2026,15,Falls Creek,4.6414285714285715,-1.091428571,28.22
2026,1,Mt. Baw Baw,4.347359307359307,-0.09452381,59.10909090909092
2026,2,Mt. Baw Baw,3.1502164502164502,-0.620995671,45.74545454545454
2026,3,Mt. Baw Baw,2.724675324675325,-1.201298701,27.254545454545454
2026,4,Mt. Baw Baw,2.7387445887445887,-1.293290043,36.32727272727273
2026,5,Mt. Baw Baw,2.058961038961039,-1.188311688,55.945454545454545
2026,6,Mt. Baw Baw,1.9896103896103896,-2.11017316,62.50909090909091
2026,7,Mt. Baw Baw,2.770779220779221,-1.371212121,28.454545454545453
2026,8,Mt. Baw Baw,3.0770562770562773,-1.557142857,40.14545454545455
2026,9,Mt. Baw Baw,2.117662337662338,-1.844155844,35.63636363636363
2026,10,Mt. Baw Baw,3.3299999999999996,-0.968571429,38.78
2026,11,Mt. Baw Baw,3.4471428571428566,-1.303,51.2
2026,12,Mt. Baw Baw,4.301587301587301,-0.928571429,38.8
2026,13,Mt. Baw Baw,5.414285714285715,-0.65026455,36.37777777777777
2026,14,Mt. Baw Baw,5.651700680272109,-0.344897959,50.37142857142857
2026,15,Mt. Baw Baw,5.059523809523809,-0.99047619,50.76666666666667
2026,1,Mt. Buller,3.757142857142857,-0.911688312,61.945454545454545
2026,2,Mt. Buller,2.5,-1.631168831,38.945454545454545
2026,3,Mt. Buller,1.8909090909090909,-2.148051948,40.09090909090909
2026,4,Mt. Buller,1.8766233766233766,-2.102597403,40.4
2026,5,Mt. Buller,0.9339826839826841,-2.242857143,46.25454545454546
2026,6,Mt. Buller,1.0051948051948052,-3.364935065,28.163636363636364
2026,7,Mt. Buller,1.748051948051948,-2.167532468,43.74545454545454
2026,8,Mt. Buller,1.9727272727272727,-2.31038961,45.90909090909091
2026,9,Mt. Buller,1.2337662337662338,-2.803896104,35.981818181818184
2026,10,Mt. Buller,2.2714285714285714,-1.829004329,39.4
2026,11,Mt. Buller,2.2800000000000002,-2.144285714,46.86
2026,12,Mt. Buller,3.4285714285714284,-2.102857143,23.48
2026,13,Mt. Buller,4.547142857142857,-0.998571429,27.72
2026,14,Mt. Buller,4.909523809523809,-0.723809524,39.84444444444444
2026,15,Mt. Buller,4.944444444444445,-0.880952381,30.688888888888886
2026,1,Mt. Hotham,2.3894248608534325,-2.174199134,36.47272727272727
2026,2,Mt. Hotham,0.9903096903096903,-2.691108891,21.745454545454546
2026,3,Mt. Hotham,0.40299700299700303,-3.395604396,24.563636363636363
2026,4,Mt. Hotham,0.5773654916512059,-3.333766234,18.07272727272727
2026,5,Mt. Hotham,-0.232467532,-3.182467532,10.018181818181818
2026,6,Mt. Hotham,-0.563636364,-4.380519481,13.254545454545452
2026,7,Mt. Hotham,0.3389610389610389,-3.353246753,33.89090909090909
2026,8,Mt. Hotham,0.7541125541125541,-3.251428571,24.454545454545453
2026,9,Mt. Hotham,-0.014435564,-3.916883117,10.836363636363636
2026,10,Mt. Hotham,1.003116883116883,-2.759554731,14.890909090909092
2026,11,Mt. Hotham,0.9442857142857143,-3.075714286,26.04
2026,12,Mt. Hotham,1.9285714285714284,-3.194857143,27.420000000000005
2026,13,Mt. Hotham,3.8055102040816324,-1.947270408,20.82
2026,14,Mt. Hotham,3.635357142857143,-1.650714286,23.42
2026,15,Mt. Hotham,3.151984126984127,-2.271428571,24.2
2026,1,Perisher,5.254545454545455,-2.288311688,63.127272727272725
2026,2,Perisher,3.9181818181818184,-3.525974026,41.56363636363636
2026,3,Perisher,3.668831168831169,-3.650649351,54.63636363636363
2026,4,Perisher,3.590909090909091,-3.77012987,34.127272727272725
2026,5,Perisher,2.5272727272727273,-3.920779221,51.03636363636363
2026,6,Perisher,2.4761038961038966,-4.131168831,47.32727272727273
2026,7,Perisher,3.2701298701298707,-3.419480519,63.67272727272727
2026,8,Perisher,3.535064935064935,-3.390909091,47.50909090909091
2026,9,Perisher,3.2532467532467533,-4.023376623,62.14545454545455
2026,10,Perisher,3.871428571428572,-2.958441558,47.25454545454546
2026,11,Perisher,3.9685714285714284,-2.86,53.64
2026,12,Perisher,4.71,-3.542857143,36.56
2026,13,Perisher,6.224285714285715,-2.144285714,45.3
2026,14,Perisher,7.047142857142857,-1.152857143,27.080000000000002
2026,15,Perisher,6.502857142857143,-1.047142857,55.660000000000004
2026,1,Selwyn,5.716883116883117,1.009090909090909,45.85454545454545
2026,2,Selwyn,5.268831168831169,0.26753246753246757,28.145454545454548
2026,3,Selwyn,4.236363636363636,-0.149350649,31.89090909090909
2026,4,Selwyn,4.251948051948052,-0.792207792,25.527272727272727
2026,5,Selwyn,3.6,-0.61038961,36.45454545454545
2026,6,Selwyn,3.2961038961038964,-1.396103896,25.018181818181816
2026,7,Selwyn,4.336363636363637,-0.32987013,31.05454545454546
2026,8,Selwyn,4.633766233766234,-0.385714286,26.836363636363636
2026,9,Selwyn,4.0987012987012985,-0.827272727,30.545454545454547
2026,10,Selwyn,5.12987013,-0.001298701,26.12727272727273
2026,11,Selwyn,5.622857142857143,-0.072857143,31.96
2026,12,Selwyn,6.646428571428572,0.098809524,16.6
2026,13,Selwyn,8.309999999999999,1.1042857142857145,31.24
2026,14,Selwyn,8.371428571,1.6,25.36
2026,15,Selwyn,8.43,1.5642857142857145,27.04
2026,1,Thredbo,2.78982684,-2.383982684,37.981818181818184
2026,2,Thredbo,1.3103896103896102,-3.541558442,22.709090909090907
2026,3,Thredbo,0.961038961,-4.136363636,14.436363636363637
2026,4,Thredbo,0.9792207792207793,-4.488311688,12.509090909090908
2026,5,Thredbo,-0.102597403,-4.332467532,17.054545454545455
2026,6,Thredbo,-0.184415584,-4.892965368,13.618181818181817
2026,7,Thredbo,0.9172943722943724,-4.049800866,18.745454545454546
2026,8,Thredbo,0.6662337662337662,-4.113852814,15.927272727272726
2026,9,Thredbo,0.7803030303030302,-4.652597403,23.145454545454545
2026,10,Thredbo,1.1358998144712429,-3.631168831,18.41818181818182
2026,11,Thredbo,0.8962857142857142,-3.762857143,20.880000000000003
2026,12,Thredbo,1.7592857142857141,-3.993380952,26.919999999999998
2026,13,Thredbo,3.018,-3.407380952,22.82
2026,14,Thredbo,3.994183673469388,-2.008673469,21.479999999999997
2026,15,Thredbo,3.024438775510204,-2.831836735,23.740000000000002
